Experiment Name,Specimen Name,Tube Name,Record Date,Date Analyzed,All Events #Events,All Events %Parent,All Events FITC-A Mean,All Events FITC-A Median,All Events FITC-A SD,P1 #Events,P1 %Parent,P1 FITC-A Mean,P1 FITC-A Median,P1 FITC-A SD,P2 #Events,P2 %Parent,P2 FITC-A Mean,P2 FITC-A Median,P2 FITC-A SD,P3 #Events,P3 %Parent,P3 FITC-A Mean,P3 FITC-A Median,P3 FITC-A SD,P4 #Events,P4 %Parent,P4 FITC-A Mean,P4 FITC-A Median,P4 FITC-A SD
Experiment_002,Specimen_001,Tube_001,"Mar 30, 2016 11:02:21 AM","Mar 30, 2016 11:34:27 AM",50000,,1330,20,9151,10457,20.9,5649,659,18178,41194,82.4,1392,22,9246,37011,74.0,1244,20,8611,41214,82.4,1414,22,9392
Experiment_002,Specimen_001,Tube_002,"Mar 30, 2016 11:04:29 AM","Mar 30, 2016 11:34:38 AM",23802,,3035,25,12601,6589,27.7,10104,1173,21314,18941,79.6,3091,26,12556,20993,88.2,3104,26,12601,20143,84.6,3179,26,12836
Experiment_002,Specimen_001,Tube_003,"Mar 30, 2016 11:10:54 AM","Mar 30, 2016 11:34:50 AM",15642,,2598,24,10435,4062,26.0,8865,1157,17936,11882,76.0,2666,25,10334,13138,84.0,2629,25,10366,12819,82.0,2745,26,10767
Experiment_002,Specimen_001,Tube_004,"Mar 30, 2016 11:16:36 AM","Mar 30, 2016 11:35:01 AM",20000,,826,16,6615,3549,17.7,3986,584,13415,17446,87.2,787,17,5996,14932,74.7,694,15,5807,17267,86.3,798,17,6343
Experiment_002,Specimen_001,Tube_005,"Mar 30, 2016 11:17:52 AM","Mar 30, 2016 11:35:12 AM",40000,,1744,20,8809,8804,22.0,6861,918,16060,30167,75.4,1783,20,8745,33484,83.7,1724,20,8493,32640,81.6,1864,21,9010
Experiment_002,Specimen_001,Tube_006,"Mar 30, 2016 11:19:23 AM","Mar 30, 2016 11:35:24 AM",50000,,1736,19,8109,10811,21.6,7108,1069,15299,37261,74.5,1853,20,8353,40023,80.0,1831,20,8224,39872,79.7,1907,20,8526
Experiment_002,Specimen_001,Tube_007,"Mar 30, 2016 11:19:59 AM","Mar 30, 2016 11:35:35 AM",50000,,157,4,1912,1040,2.1,6418,1008,10851,40257,80.5,157,4,1922,33121,66.2,118,3,1541,39622,79.2,152,4,1868
Experiment_002,Specimen_001,Tube_008,"Mar 30, 2016 11:20:54 AM","Mar 30, 2016 11:35:46 AM",50000,,366,9,2843,3477,7.0,4448,713,9021,38373,76.7,378,9,2896,41786,83.6,326,9,2535,41678,83.4,381,9,2908
Experiment_002,Specimen_001,Tube_009,"Mar 30, 2016 11:22:33 AM","Mar 30, 2016 11:35:57 AM",50000,,363,10,2684,3852,7.7,3921,691,7976,35814,71.6,382,10,2689,37676,75.4,343,10,2436,39642,79.3,389,11,2740
Experiment_002,Specimen_001,Tube_010,"Mar 30, 2016 11:23:18 AM","Mar 30, 2016 11:36:08 AM",50000,,69,3,1222,598,1.2,4989,699,9747,42852,85.7,63,3,1165,38215,76.4,55,3,1006,42790,85.6,68,3,1243
Experiment_002,Specimen_001,Tube_011,"Mar 30, 2016 11:24:43 AM","Mar 30, 2016 11:36:20 AM",50000,,152,6,1612,2138,4.3,2975,555,6660,38060,76.1,156,6,1658,42088,84.2,142,6,1486,40841,81.7,161,7,1689
Experiment_002,Specimen_001,Tube_012,"Mar 30, 2016 11:26:12 AM","Mar 30, 2016 11:36:31 AM",50000,,171,8,1685,2731,5.5,2627,519,6059,37090,74.2,180,9,1686,39903,79.8,175,9,1618,39831,79.7,184,9,1742
Experiment_002,Specimen_001,Tube_013,"Mar 30, 2016 11:26:59 AM","Mar 30, 2016 11:36:42 AM",50000,,1,1,24,0,0.0,,,,37859,75.7,1,1,24,36656,73.3,1,1,23,39545,79.1,1,2,24
